Position;Rank;Name;Uri;ImageUri;Industry;Country;Revenue;MarketValue;Headquarters;Ceo;Profits;Assets;State;SquareImage;Thumbnail
630;630;Aon;aon;aon;Insurance Brokers;United Kingdom;10694,0;35232,0;United Kingdom;Gregory Case;742,0;27847,0;;//specials-images.forbesimg.com/imageserve/5b928bab4bbe6f30c1b132a9/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5b928bab4bbe6f30c1b132a9/280x425.jpg?fit=scale&background=000000
1676;1676;Aozora Bank;aozora-bank;aozora-bank;Regional Banks;Japan;1208,0;4746,0;Japan;Shinsuke Baba;372,9;43647,0;;;
858;858;Apache;apache;apache;Oil & Gas Operations;United States;6103,0;15825,0;Texas;John Christmann;1236,0;21791,0;Texas;;
8;8;Apple;apple;apple;Computer Hardware;United States;247535,0;926946,0;California;Tim Cook;53318,0;367502,0;California;//specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5c13d14731358e5b4339c564/280x425.jpg?fit=scale&background=000000
439;439;Applied Materials;applied-materials;applied-materials;Semiconductors;United States;15463,0;57620,0;California;Gary Dickerson;2866,0;19663,0;California;;
700;700;Aptiv;aptiv;no-pic;Auto & Truck Parts;United Kingdom;15721,0;25476,0;United Kingdom;Kevin Clark;1327,0;12560,0;;;
1403;1403;Arab Bank;arab-bank;arab-bank;Regional Banks;Jordan;2546,0;6683,0;Jordan;Nehme Sabbagh;523,0;47886,0;;;
1123;1123;Arab National Bank;arab-national-bank;arab-national-bank;Regional Banks;Saudi Arabia;2066,0;7975,0;Saudi Arabia;Raimon Roura;807,1;45783,0;;;
1112;1112;Aramark;aramark;aramark;Restaurants;United States;15152,0;9356,0;Pennsylvania;Eric Foss;498,3;13733,0;Pennsylvania;;
1147;1147;Arca Continental;arca-continental;arca-continental;Beverages;Mexico;8074,0;11178,0;Mexico;Francisco Egloff;685,3;12617,0;;;
152;152;ArcelorMittal;arcelormittal;arcelormittal;Iron & Steel;Luxembourg;68587,0;36820,0;Luxembourg;Lakshmi Mittal;4566,7;85297,0;;;
1113;1113;Arch Capital Group;arch-capital-group;arch-capital-group;Property & Casualty Insurance;Bermuda;5443,0;10815,0;Bermuda;Marc Grandisson;507,1;32132,0;;//specials-images.forbesimg.com/imageserve/5a9efd44a7ea434a0c282c18/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5a9efd44a7ea434a0c282c18/280x425.jpg?fit=scale&background=000000
324;324;Archer Daniels Midland;archer-daniels-midland;archer-daniels-midland;Food Processing;United States;61370,0;24593,0;Illinois;Juan Luciano;1649,0;41100,0;Illinois;//specials-images.forbesimg.com/imageserve/5ae89f95a7ea43676fd01b2c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5ae89f95a7ea43676fd01b2c/280x425.jpg?fit=scale&background=000000
1288;1288;Arconic;arconic;arconic;Aluminum;United States;13213,0;8797,0;New York;Charles Blankenship;-253,0;18219,0;New York;;
1769;1769;Ares Capital;ares-capital;no-pic;Investment Services;United States;1233,0;7077,0;New York;Kipp deVeer III;791,0;12693,0;New York;;
1511;1511;Arista Networks;arista-networks;no-pic;Communications Equipment;United States;1783,0;19335,0;California;Jayshree Ullal;484,2;2580,0;California;;
1924;1924;Aristocrat Leisure;aristocrat-leisure;no-pic;Recreational Products;Australia;1869,0;13616,0;Australia;Trevor Croker;377,1;2584,0;;;
1198;1198;Arkema;arkema;arkema;Diversified Chemicals;France;9391,0;9984,0;France;Thierry Hénaff;649,7;11641,0;;;
1257;1257;Aroundtown;aroundtown;no-pic;Real Estate;Luxembourg;594,0;8629,0;Luxembourg;Shmuel Mayo;1446,7;16535,0;;;
1185;1185;Arrow Electronics;arrow-electronics;arrow-electronics;Electronics;United States;27929,0;6725,0;Colorado;Michael Long;427,3;16125,0;Colorado;;
