Position;Rank;Name;Uri;ImageUri;Industry;Country;Revenue;MarketValue;Headquarters;Ceo;Profits;Assets;State;SquareImage;Thumbnail
1963;1963;Chaparral Energy;chaparral-energy;no-pic;Oil & Gas Operations;United States;294,0;988,0;Oklahoma;K. Reynolds;923,1;1201,0;Oklahoma;;
273;273;Charles Schwab;charles-schwab;charles-schwab;Investment Services;United States;9380,0;80222,0;California;Walter Bettinger;2573,0;248320,0;California;;
1261;1261;Charoen Pokphand Foods;charoen-pokphand-foods;charoen-pokphand-foods;Food Processing;Thailand;14779,0;6344,0;Thailand;Dhanin Chearavanont;436,0;18211,0;;;
96;96;Charter Communications;charter-communications;charter-communications;Broadcasting & Cable;United States;42074,0;64782,0;Connecticut;Thomas Rutledge;9908,0;146151,0;Connecticut;;
1349;1349;Check Point Software;check-point-software;check-point-software;Software & Programming;Israel;1872,0;15940,0;Israel;Gil Shwed;807,5;5422,0;;;
1363;1363;Chemours;chemours;no-pic;Diversified Chemicals;United States;6477,0;9031,0;Delaware;Mark Vergnano;893,0;7484,0;Delaware;//specials-images.forbesimg.com/imageserve/5af30c65a7ea436b547cc06d/416x416.jpg?background=000000&cropX1=0&cropX2=442&cropY1=0&cropY2=442;http://specials-images.forbesimg.com/imageserve/5af30c65a7ea436b547cc06d/280x425.jpg?fit=scale&background=000000
1137;1137;Cheniere Energy;cheniere-energy;cheniere-energy;Oil & Gas Operations;United States;6667,0;15199,0;Texas;Jack Fusco;-90,0;28341,0;Texas;;
1276;1276;Chesapeake Energy;chesapeake-energy;chesapeake-energy;Oil & Gas Operations;United States;9254,0;3064,0;Oklahoma;Doug MBA;1091,0;12086,0;Oklahoma;;
428;428;Cheung Kong Property Holdings;ck-asset-holdings;no-pic;Real Estate;Hong Kong;7765,0;32125,0;Hong Kong;Tzar Li;3865,7;57992,0;;;
21;21;Chevron;chevron;chevron;Oil & Gas Operations;United States;139397,0;248119,0;California;Michael Wirth;10151,0;256442,0;California;;
1285;1285;Chiba Bank;chiba-bank;chiba-bank;Regional Banks;Japan;1844,0;6076,0;Japan;Jian Zhao;485,4;135231,0;;;
1630;1630;Chimera Investment;chimera-investment;chimera-investment;Real Estate;United States;1169,0;3360,0;New York;Matthew Lambiase;600,9;21331,0;New York;;
2000;1999;China Agri-Industries;china-agri-industries;china-agri-industries;Diversified Chemicals;Hong Kong;11274,0;2220,0;Hong Kong;Qing Wang;260,7;8614,0;;;
1734;1734;China Aviation Oil;china-aviation-oil;china-aviation-oil;Trading Companies;Singapore;17049,0;1050,0;Singapore;Fan Meng;86,9;2024,0;;;
363;363;China Cinda Asset Management;china-cinda-asset-management;china-cinda-asset-management;Investment Services;China;15710,0;13759,0;China;Jian Gong;2683,3;212982,0;;;
85;85;China Citic Bank;china-citic-bank;china-citic-bank;Regional Banks;China;43648,0;46540,0;China;Qing Guan;6545,0;893992,0;;;
957;957;China Coal Energy;china-coal-energy;china-coal-energy;Diversified Metals & Mining;China;13076,0;9384,0;China;Yan Li;406,0;39644,0;;;
169;169;China Communications Construction;china-communications-construction;china-communications-construction;Construction Services;China;71159,0;28797,0;China;Qi Liu;3045,0;135580,0;;;
1623;1623;China Communications Services;china-communications-services;china-communications-services;Telecommunications services;China;14011,0;4517,0;China;Fang Han;401,1;10862,0;;;
2;2;China Construction Bank;china-construction-bank;china-construction-bank;Major Banks;China;143202,0;261166,0;China;Guo Tian;37203,1;3631583,0;;;
1497;1497;China Development Financial;china-development-financial;china-development-financial;Regional Banks;Taiwan;4056,0;5441,0;Taiwan;Ming Wang;384,4;80398,0;;;
601;601;China Eastern Airlines;china-eastern-airlines;china-eastern-airlines;Airline;China;15675,0;15518,0;China;Jin Zhang;834,0;36154,0;;;
754;754;China Energy Engineering;china-energy-engineering;china-energy-engineering;Construction Services;China;34753,0;4668,0;China;Yan Ding;780,8;52808,0;;;
141;141;China Everbright Bank;china-everbright-bank;china-everbright-bank;Regional Banks;China;30335,0;32213,0;China;Xiao Li;4840,0;661698,0;;;
127;127;China Evergrande Group;china-evergrande-group;china-evergrande-group;Real Estate;China;46035,0;41970,0;China;Hai Xia;3568,7;270539,0;;;
610;610;China Fortune Land Development;china-fortune-land-development;china-fortune-land-development;Construction Services;China;8479,0;13444,0;China;Dong Chang;1405,2;59702,0;;;
1386;1386;China Galaxy Securities;china-galaxy-securities;china-galaxy-securities;Investment Services;China;1662,0;6496,0;China;Gong Chen;585,0;43086,0;;;
1235;1234;China Gas Holdings;china-gas-holdings;china-gas-holdings;Natural Gas Utilities;Hong Kong;5101,0;18609,0;Hong Kong;Ming Liu;752,0;8921,0;;;
939;939;China Gezhouba;china-gezhouba;china-gezhouba;Construction Services;China;15573,0;5830,0;China;Jian He;708,4;31049,0;;;
901;901;China Grand Automotive Services;china-grand-automotive-services;china-grand-automotive-services;Specialty Stores;China;25178,0;8537,0;China;Jian Li;608,2;19979,0;;//specials-images.forbesimg.com/imageserve/59231486a7ea434078d441e8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/59231486a7ea434078d441e8/280x425.jpg?fit=scale&background=000000
850;850;China Hongqiao Group;china-hongqiao-group;china-hongqiao-group;Aluminum;China;13814,0;9651,0;China;Bo Zhang;763,8;24281,0;;;
323;323;China Huarong Asset Management;china-huarong-asset-management;china-huarong-asset-management;Major Banks;China;18155,0;13687,0;China;Keki Mistry;3241,3;287202,0;;;
1416;1416;China International Capital;china-international-capital;no-pic;Investment Services;China;2253,0;9016,0;China;Ming Bi;402,6;36519,0;;;
1367;1367;China International Marine;china-international-marine;china-international-marine;Heavy Equipment;China;12138,0;5823,0;China;Bo Mai;370,0;21711,0;;;
1531;1531;China International Travel Service;china-international-travel-service;no-pic;Business & Personal Services;China;4673,0;18805,0;China;Hui Peng;448,5;3646,0;;;
1396;1396;China Jinmao;china-jinmao;no-pic;Consumer Financial Services;Hong Kong;4605,0;6755,0;Hong Kong;Cong Li;585,8;34098,0;;;
35;35;China Life Insurance;china-life-insurance;china-life-insurance;Life & Health Insurance;China;97129,0;104055,0;China;Ping Miao;5967,0;474155,0;;;
1272;1272;China Life Insurance (Taiwan);china-life-insurance-taiwan;china-life-insurance-taiwan;Life & Health Insurance;Taiwan;9489,0;4008,0;Taiwan;Shu Huang;298,6;49252,0;;;
1582;1582;China Longyuan Power;china-longyuan-power;china-longyuan-power;Diversified Utilities;China;3640,0;7146,0;China;Bao Qiao;542,5;22364,0;;;
1477;1477;China Mengniu Dairy;china-mengniu-dairy;china-mengniu-dairy;Food Processing;Hong Kong;8907,0;13760,0;Hong Kong;Min Lu;302,5;8928,0;;;
32;32;China Merchants Bank;china-merchants-bank;china-merchants-bank;Regional Banks;China;49936,0;112449,0;China;Hui Tian;11023,6;993732,0;;;
1535;1535;China Merchants Holdings;china-merchants-port-holdings;no-pic;Other Transportation;Hong Kong;1115,0;7466,0;Hong Kong;Jing Bai;773,5;16879,0;;;
887;887;China Merchants Securities;china-merchants-securities;china-merchants-securities;Investment Services;China;1731,0;16807,0;China;Yan Wang;830,0;46201,0;;;
409;409;China Merchants Shekou Industrial Zone Holdings;china-merchants-shekou-industrial-zone-holdings;no-pic;Real Estate;China;10643,0;28562,0;China;Yong Xu;2395,6;57315,0;;;
90;90;China Minsheng Banking;china-minsheng-banking;china-minsheng-banking;Regional Banks;China;42743,0;43524,0;China;Qi Hong;7354,0;954040,0;;;
25;25;China Mobile;china-mobile;china-mobile;Telecommunications services;Hong Kong;109493,0;192632,0;Hong Kong;Yue PhD;16882,0;233740,0;;;
1157;1157;China Molybdenum;china-molybdenum;no-pic;Iron & Steel;China;3828,0;25581,0;China;Fa Li;564,0;15608,0;;;
875;875;China National Building;china-national-building;china-national-building;Construction Materials;China;18950,0;7211,0;China;Zhi Song;482,0;53316,0;;;
1843;1843;China National Chemical;china-national-chemical;china-national-chemical;Construction Services;China;9455,0;6043,0;China;Jin Yu;248,5;13832,0;;;
881;881;China National Nuclear Power;china-national-nuclear-power;no-pic;Electric Utilities;China;5030,0;16095,0;China;Tao Zhang;679,2;49358,0;;;
1753;1753;China Oriental Group;china-oriental-group;no-pic;;Hong Kong;6123,0;2675,0;Hong Kong;Jing Han;719,4;3748,0;;;
138;138;China Pacific Insurance;china-pacific-insurance;china-pacific-insurance;Life & Health Insurance;China;50943,0;47987,0;China;Qing Kong;2474,0;191097,0;;;
1865;1865;China Petroleum Engineering;china-petroleum-engineering;no-pic;;China;8483,0;3499,0;China;Yu Bai;63,7;14730,0;;;
218;218;China Railway Construction;china-railway-construction;china-railway-construction;Construction Services;China;103203,0;20318,0;China;Shao Huang;2506,0;131134,0;;;
188;188;China Railway Group;china-railway-group;china-railway-group;Construction Services;China;105996,0;25334,0;China;Li Changjin;2503,0;132598,0;;;
764;764;China Reinsurance Group;china-reinsurance-group;china-reinsurance-group;Diversified Insurance;China;15789,0;9362,0;China;Lin Yuan;776,1;36536,0;;;
312;312;China Resources Land;china-resources-land;china-resources-land;Real Estate;Hong Kong;15481,0;25650,0;Hong Kong;Yong Tang;2953,6;73499,0;;;
1000;1000;China Resources Pharmaceutical Group;china-resources-pharmaceutical-group;no-pic;Pharmaceuticals;Hong Kong;22140,0;8534,0;Hong Kong;Chun Wang;447,0;20564,0;;;
977;977;China Resources Power;china-resources-power;china-resources-power;Electric Utilities;Hong Kong;9408,0;9181,0;Hong Kong;Ru Li;593,3;28267,0;;;
131;131;China Shenhua Energy;china-shenhua-energy;china-shenhua-energy;Diversified Metals & Mining;China;36431,0;64620,0;China;Wen Ling;6709,0;91177,0;;;
1169;1169;China Shipbuilding Industry;china-shipbuilding-industry;china-shipbuilding-industry;Heavy Equipment;China;5134,0;18638,0;China;Liang Wang;126,0;31977,0;;//specials-images.forbesimg.com/imageserve/5b16f709a7ea436b547f7d37/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5b16f709a7ea436b547f7d37/280x425.jpg?fit=scale&background=000000
553;553;China Southern Airlines;china-southern-airlines;china-southern-airlines;Airline;China;19718,0;14610,0;China;Fu Pan;1049,0;34971,0;;;
84;84;China State Construction Engineering;china-state-construction-engineering;china-state-construction-engineering;Construction Services;China;162275,0;40392,0;China;Xiang Wang;5130,6;257557,0;;;
871;871;China Steel;china-steel;china-steel;Iron & Steel;Taiwan;11919,0;12233,0;Taiwan;Chi Liu;593,9;22815,0;;;
524;524;China Taiping Insurance;china-taiping-insurance;china-taiping-insurance;Diversified Insurance;Hong Kong;25413,0;13049,0;Hong Kong;Bin Wang;754,7;83994,0;;;
174;174;China Telecom;china-telecom;china-telecom;Telecommunications services;China;54198,0;38560,0;China;Jie Yang;2736,7;101535,0;;;
534;534;China Unicom;china-unicom;china-unicom;Telecommunications services;Hong Kong;40672,0;42488,0;Hong Kong;Xiao Wang;261,9;88547,0;;;
133;133;China Vanke;china-vanke;china-vanke;Real Estate;China;36600,0;43806,0;China;Jiu Zhu;4233,5;194585,0;;;
420;420;China Yangtze Power;china-yangtze-power;china-yangtze-power;Electric Utilities;China;7446,0;56020,0;China;Ding Zhang;3377,6;47266,0;;;
538;538;China Zheshang Bank;china-zheshang-bank;china-zheshang-bank;Regional Banks;China;10658,0;10969,0;China;Ren Shen;1521,8;235988,0;;;
1033;1033;Chongqing Changan Auto;chongqing-changan-aut;chongqing-changan-aut;Auto & Truck Manufacturers;China;12014,0;7239,0;China;Taek-Geun Jeong;921,0;17033,0;;;
816;816;Chongqing Rural Bank;chongqing-rural-bank;chongqing-rural-bank;Regional Banks;China;6717,0;7096,0;China;Jian Liu;1371,3;142859,0;;;
1390;1390;Chow Tai Fook Jewellery;chow-tai-fook-jewellery;chow-tai-fook-jewellery;Apparel/Accessories;Hong Kong;7001,0;13351,0;Hong Kong;Siu Wong;464,3;7070,0;;;
150;150;Christian Dior;christian-dior;christian-dior;Apparel/Accessories;France;49252,0;76442,0;France;Sidney Toledano;2526,6;87373,0;;;
130;130;Chubb;chubb;chubb;Property & Casualty Insurance;Switzerland;32613,0;63428,0;Switzerland;Evan Greenberg;3850,0;168781,0;;;
596;596;Chubu Electric Power;chubu-electric-power;chubu-electric-power;Electric Utilities;Japan;25744,0;12049,0;Japan;Akihisa Mizuno;671,0;52000,0;;;
1612;1612;Chugoku Bank;chugoku-bank;chugoku-bank;Regional Banks;Japan;1113,0;2256,0;Japan;Masato Miyanaga;191,8;79617,0;;;
1327;1327;Chugoku Electric Power;chugoku-electric-power;chugoku-electric-power;Electric Utilities;Japan;11864,0;4447,0;Japan;Tomohide Karita;186,8;29896,0;;;
782;782;Chunghwa Telecom;chunghwa-telecom;chunghwa-telecom;Telecommunications services;Taiwan;7557,0;28414,0;Taiwan;Yu Cheng;1267,5;16054,0;;;
1512;1511;Church & Dwight;church-dwight;church-dwight;Household/Personal Care;United States;3905,0;11614,0;New Jersey;Matthew Farrell;769,7;5943,0;New Jersey;http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/280x425.jpg?fit=scale&background=000000
968;968;Cielo;cielo;cielo;Business & Personal Services;Brazil;3599,0;13696,0;Brazil;Eduardo Gouveia;1262,0;24975,0;;http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/280x425.jpg?fit=scale&background=000000
220;220;Cigna;cigna;cigna;Managed Health Care;United States;42636,0;42263,0;Connecticut;David Cordani;2554,0;63141,0;Connecticut;;
1903;1903;Cimarex Energy;cimarex-energy;cimarex-energy;Oil & Gas Operations;United States;2038,0;9404,0;Colorado;Thomas Jorden;540,7;5260,0;Colorado;;
1045;1045;Cincinnati Financial;cincinnati-financial;cincinnati-financial;Diversified Insurance;United States;5442,0;11799,0;Ohio;Steven Johnston;813,0;21470,0;Ohio;;
1143;1143;Cintas;cintas;cintas;Business & Personal Services;United States;6337,0;19627,0;Ohio;Scott Farmer;659,9;6929,0;Ohio;;
444;444;Cisco Systems;cisco-systems;cisco-systems;Communications Equipment;United States;48096,0;221269,0;California;Chuck Robbins;-1445,0;131510,0;California;//specials-images.forbesimg.com/imageserve/5c13d2f64bbe6f0f2aa26233/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5c13d2f64bbe6f0f2aa26233/280x425.jpg?fit=scale&background=000000
76;76;Citic Pacific;citic;no-pic;Iron & Steel;Hong Kong;57814,0;44397,0;Hong Kong;Zhen Chang;5633,6;962064,0;;;
492;492;Citic Securities;citic-securities;citic-securities;Investment Services;China;6116,0;35781,0;China;Ming Yang;1786,0;104848,0;;;
374;374;Citigroup;citigroup;citigroup;Major Banks;United States;90469,0;185788,0;New York;Michael Corbat;-5838,0;1922104,0;New York;//specials-images.forbesimg.com/imageserve/5cd1a5a0c904c40008ac8dc0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a5a0c904c40008ac8dc0/280x425.jpg?fit=scale&background=000000
513;513;Citizens Financial Group;citizens-financial-group;citizens-financial-group;Regional Banks;United States;6777,0;20552,0;Rhode Island;Bruce van Saun;1720,0;153453,0;Rhode Island;;
1171;1171;Clorox;clorox;clorox;Household/Personal Care;United States;6080,0;15611,0;California;Benno Dorer;807,0;5444,0;California;//specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/280x425.jpg?fit=scale&background=000000
693;693;Cnpc Capital;cnpc-capital;cnpc-capital;Heavy Equipment;China;4966,0;18789,0;China;Shang Jiang;1106,8;130779,0;;;
645;645;Coal India;coal-india;coal-india;Diversified Metals & Mining;India;12612,0;24957,0;India;Suresh Kumar;1296,3;17779,0;;;
209;209;Coca-Cola;coca-cola;coca-cola;Beverages;United States;33682,0;179317,0;Georgia;James Quincey;1434,0;93282,0;Georgia;//specials-images.forbesimg.com/imageserve/5cd1a8c8660f45000833182b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a8c8660f45000833182b/280x425.jpg?fit=scale&background=000000
726;726;Coca-Cola European Partners;coca-cola-european-partners;coca-cola-european-partners;Beverages;United Kingdom;12902,0;18777,0;United Kingdom;Damian Gammell;765,9;22361,0;;;
1376;1376;Coca-Cola HBC;coca-cola-hbc;coca-cola-hbc;Beverages;Switzerland;7363,0;12565,0;Switzerland;Zoran Bogdanovic;481,7;8028,0;;;
1852;1852;Coca-Cola West;coca-cola-west;no-pic;Beverages;Japan;8908,0;8273,0;Japan;Hisashi Kubo;233,1;8358,0;;;
573;573;Cognizant;cognizant;cognizant;Computer Services;United States;15176,0;44868,0;New Jersey;Francisco D'Souza;1467,0;15045,0;New Jersey;;
549;549;Colgate-Palmolive;colgate-palmolive;colgate-palmolive;Household/Personal Care;United States;15694,0;54703,0;New York;Ian Cook;2088,0;13144,0;New York;//specials-images.forbesimg.com/imageserve/5c13d340a7ea4370591a5bc7/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5c13d340a7ea4370591a5bc7/280x425.jpg?fit=scale&background=000000
1385;1385;Coloplast;coloplast;coloplast;Medical Equipment & Supplies;Denmark;2494,0;20216,0;Denmark;Lars Rasmussen;593,3;2104,0;;http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5798e2fd31358e154fde0030/280x425.jpg?fit=scale&background=000000
1566;1566;Colruyt;colruyt;colruyt;Food Retail;Belgium;10258,0;8198,0;Belgium;Jef Colruyt;407,6;5014,0;;;
34;34;Comcast;comcast;comcast;Broadcasting & Cable;United States;86854,0;146792,0;Pennsylvania;Brian Roberts;23266,0;190876,0;Pennsylvania;;
836;836;Comerica;comerica;comerica;Major Banks;United States;3321,0;16832,0;Texas;Ralph Babb;817,0;72335,0;Texas;;
1714;1714;Commercial Bank For Investment & Development Of Vietnam;commercial-bank-for-investment-development-of-vietnam;commercial-bank-for-investment-development-of-vietnam;Regional Banks;Vietnam;4243,0;5105,0;Vietnam;Tu Phan;310,5;53791,0;;;
1838;1838;Commercial Bank of Qatar;commercial-bank-of-qatar;commercial-bank-of-qatar;Regional Banks;Qatar;1832,0;4022,0;Qatar;Joseph Abraham;185,8;40183,0;;;
690;690;Commerzbank;commerzbank;commerzbank;Regional Banks;Germany;16153,0;16146,0;Germany;Martin Zielke;160,2;547945,0;;;
71;71;Commonwealth Bank;commonwealth-bank;commonwealth-bank;Major Banks;Australia;33038,0;93505,0;Australia;Matthew Comyn;7618,4;752374,0;;;
1469;1469;Community Health Systems;community-health-sys;community-health-sys;Healthcare Services;United States;14558,0;507,0;Tennessee;Wayne Smith;-2284,0;17311,0;Tennessee;;
1500;1500;Compal Electronics;compal-electronics;compal-electronics;Computer Hardware;Taiwan;29177,0;2966,0;Taiwan;Jui-Tsung Chen;189,0;12210,0;;;
1616;1616;Companhia Brasileira de Distribuicao;companhia-brasileira-de-distribuicao;no-pic;Food Retail;Brazil;14115,0;5983,0;Brazil;Peter Lourenço;234,3;13665,0;;;
517;517;Compass Group;compass-group;compass-group;Restaurants;United Kingdom;29780,0;32365,0;United Kingdom;Dominic Blakemore;1513,3;15996,0;;;
1057;1057;Conagra Brands;conagra-brands;conagra-brands;Food Processing;United States;7834,0;14895,0;Nebraska;Sean Connolly;890,1;10463,0;Nebraska;//specials-images.forbesimg.com/imageserve/5916305031358e03e5590c74/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5916305031358e03e5590c74/280x425.jpg?fit=scale&background=000000
1031;1031;Concho Resources;concho-resources;concho-resources;Oil & Gas Operations;United States;2921,0;22763,0;Texas;Tim Leach;1132,0;14381,0;Texas;;
1102;1102;Concordia Financial Group;concordia-financial-group;no-pic;Regional Banks;Japan;2898,0;7252,0;Japan;;599,2;175464,0;;;
530;530;ConocoPhillips;conocophillips;conocophillips;Oil & Gas Operations;United States;30274,0;81250,0;Texas;Ryan Lance;-553,0;70727,0;Texas;;
465;465;Consolidated Edison;consolidated-edison;consolidated-edison;Electric Utilities;United States;12170,0;23873,0;New York;John McAvoy;1565,0;48900,0;New York;;
593;593;Constellation Brands;constellation-brands;constellation-brands;Beverages;United States;7586,0;41635,0;New York;Robert Sands;2318,9;20539,0;New York;http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/280x425.jpg?fit=scale&background=000000
1980;1980;Constellation Software;constellation-software;constellation-software;;Canada;2639,0;16092,0;Canada;Mark Leonard;263,3;2605,0;;;
204;204;Continental;continental;continental;Auto & Truck Parts;Germany;51445,0;53200,0;Germany;Elmar Degenhart;3473,8;47774,0;;;
1038;1038;Continental Resources;continental-resources;continental-resources;Oil & Gas Operations;United States;3521,0;25431,0;Oklahoma;Harold Hamm;1022,9;14378,0;Oklahoma;;
1765;1764;Core-Mark Holding;core-mark-holding;no-pic;Trading Companies;United States;15989,0;880,0;California;Thomas Perkins;30,1;1670,0;California;;
940;940;Corning;corning;corning;Communications Equipment;United States;10241,0;23250,0;New York;Wendell Weeks;-1172,0;26834,0;New York;;
1862;1862;Corporation Bank;corporation-bank;corporation-bank;Regional Banks;India;3366,0;714,0;India;Jai Garg;84,4;38257,0;;;
1183;1183;Cosco Shipping;cosco-shipping;no-pic;Other Transportation;China;13903,0;8048,0;China;Oh-Gap Kwon;380,0;20560,0;;;
1065;1065;Cosmo Energy Holdings;cosmo-energy-holdings;no-pic;Oil & Gas Operations;Japan;22765,0;2914,0;Japan;Hiroshi Kiriyama;657,0;15899,0;;;
189;189;Costco Wholesale;costco-wholesale;costco-wholesale;Discount Stores;United States;135964,0;85903,0;Washington;Walter Jelinek;2960,0;38703,0;Washington;//specials-images.forbesimg.com/imageserve/5cd1a957c904c40008ac8def/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a957c904c40008ac8def/280x425.jpg?fit=scale&background=000000
1196;1196;Coty;coty-inc;coty-inc;Household/Personal Care;United States;9339,0;10723,0;New York;Camillo Pane;-292,3;23765,0;New York;;
448;448;Couche Tard;couche-tard;couche-tard;Food Retail;Canada;47213,0;23649,0;Canada;Brian Hannasch;1535,0;22942,0;;;
143;143;Country Garden Holdings;country-garden-holdings;country-garden-holdings;Real Estate;China;33789,0;45197,0;China;Tzar Li;3889,6;161190,0;;;
625;625;Covestro;covestro;no-pic;Specialized Chemicals;Germany;16747,0;18441,0;Germany;Patrick Thomas;2553,4;13851,0;;;
716;716;Credicorp;credicorp;credicorp;Regional Banks;Peru;5451,0;18040,0;Peru;Walter Llona;1305,5;52850,0;;;
148;148;Credit Agricole;credit-agricole;credit-agricole;Regional Banks;France;21051,0;43920,0;France;Won-Hui Lee;3604,0;1861580,0;;;
1849;1849;Credit Bank of Moscow;credit-bank-of-moscow;no-pic;Regional Banks;Russia;2548,0;2102,0;Russia;Vladimir Chubar;354,9;32797,0;;;
482;482;Credit Suisse Group;credit-suisse-group;credit-suisse-group;Major Banks;Switzerland;32741,0;43717,0;Switzerland;Tidjane Thiam;-915,9;844888,0;;;
1758;1758;Credito Emiliano;credito-emiliano;credito-emiliano;Regional Banks;Italy;2119,0;2879,0;Italy;Angelo Campani;210,4;49935,0;;;
960;960;Crown Castle International;crown-castle-international;crown-castle-international;Telecommunications services;United States;4639,0;42980,0;Texas;Jay Brown;439,4;32250,0;Texas;;
1956;1956;Crown Holdings;crown-holdings;crown-holdings;Containers & Packaging;United States;9007,0;6001,0;Pennsylvania;Timothy Donahue;306,0;13079,0;Pennsylvania;;
1682;1681;Crown Resorts;crown-resorts;crown-resorts;Casinos & Gaming;Australia;2543,0;6956,0;Australia;John Alexander;1338,0;6465,0;;;
1467;1467;Csc Financial;csc-financial;no-pic;Investment Services;China;2389,0;6111,0;China;Ge Li;595,2;31616,0;;;
1278;1278;Ctrip.com International;ctrip-international;ctrip-international;Business & Personal Services;China;3967,0;23309,0;China;Jane Sun;320,0;24885,0;;;
1636;1636;Cullen/Frost Bankers;cullen-frost-bankers;cullen-frost-bankers;Regional Banks;United States;1264,0;7583,0;Texas;Phillip Green;383,4;31459,0;Texas;;
604;604;Cummins;cummins;cummins;Heavy Equipment;United States;21409,0;24098,0;Indiana;Tom Linebarger;928,0;18392,0;Indiana;//specials-images.forbesimg.com/imageserve/5b6af15e4bbe6f48a94d1121/416x416.jpg?background=000000&cropX1=0&cropX2=393&cropY1=0&cropY2=393;http://specials-images.forbesimg.com/imageserve/5b6af15e4bbe6f48a94d1121/280x425.jpg?fit=scale&background=000000
1690;1689;Cybg;cybg;no-pic;Regional Banks;United Kingdom;1599,0;3817,0;United Kingdom;David Duffy;193,8;58001,0;;;
228;228;DBS Group;dbs;no-pic;Regional Banks;Singapore;11810,0;56580,0;Singapore;Piyush Gupta;3418,2;404108,0;;//specials-images.forbesimg.com/imageserve/5cd1ab21a1fec40008e6be44/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1ab21a1fec40008e6be44/280x425.jpg?fit=scale&background=000000
1487;1487;DCC;dcc;dcc;Conglomerates;Ireland;16623,0;8815,0;Ireland;Donal Murphy;265,5;7734,0;;;
1725;1725;DGB Financial Group;dgb-financial-group;dgb-financial-group;Regional Banks;South Korea;2567,0;1787,0;South Korea;In-Gyoo Park;267,3;52995,0;;;
546;546;DISH Network;dish-network;dish-network;Broadcasting & Cable;United States;14170,0;14666,0;Colorado;W. Carlson;2090,5;30155,0;Colorado;;
332;332;DNB;dnb;dnb;Major Banks;Norway;9027,0;31661,0;Norway;Rune Bjerke;2709,0;340472,0;;;
915;915;DP World;dp-world;dp-world;Other Transportation;United Arab Emirates;4729,0;18268,0;United Arab Emirates;Sultan Sultan bin Sulayem;1176,7;23158,0;;;
786;786;DR Horton;dr-horton;dr-horton;Construction Services;United States;15063,0;16557,0;Texas;David Auld;1142,5;13218,0;Texas;;
703;703;DSM;dsm;dsm;Healthcare Services;Netherlands;10410,0;17831,0;Netherlands;Feike Sijbesma;2280,0;16269,0;;;
1571;1571;DSME;dsme;dsme;Heavy Equipment;South Korea;9820,0;2596,0;South Korea;Sung-Leep Jung;554,3;10692,0;;;
1114;1113;DSV;dsv;dsv;Trucking;Denmark;11787,0;14934,0;Denmark;Jens Andersen;484,2;6356,0;;;
579;579;DTE Energy;dte-energy;dte-energy;Electric Utilities;United States;12971,0;18593,0;Michigan;Gerard Anderson;1093,0;33841,0;Michigan;;
464;464;DXC Technology;dxc-technology;dxc-technology;Business & Personal Services;United States;20151,0;29883,0;Virginia;Mike Lawrie;1043,0;33582,0;Virginia;;
1046;1045;DaVita;davita;davita;Healthcare Services;United States;13431,0;11581,0;Colorado;Kent Thiry;394,6;18942,0;Colorado;;
1437;1437;Daelim Industrial;daelim-industrial;daelim-industrial;Construction Services;South Korea;11392,0;2705,0;South Korea;Young-Guk Kang;532,0;12519,0;;;
